PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39764693,NGR-poly(2-ethyl-2-oxazoline)-cholesteryl methyl carbonate enhances the antitumor effect of quercetin liposomes in triple-negative breast cancer.,2025 Jan 7,,,
39764688,Using system dynamics modeling approach to strengthen health systems to combat cancer: a systematic literature review.,2025 Jan 7,,,
39764584,Artificial Intelligence Predicts Multiclass Molecular Signatures and Subtypes Directly From Breast Cancer Histology: a Multicenter Retrospective Study.,2025 Jan 7,,,
39764570,Breast cancer-the impact of conflict and displacement.,2024 Oct,,,
39764482,Sarcopenia as a Prognostic Factor and Multimodal Interventions in Breast Cancer.,2024,,,
39764465,Biocompatible nanoparticles self-assembled by PEGylated polyphosphoesters for combination of photodynamic therapy and hypoxia-activated chemotherapy against breast cancer.,2024,,,
39764461,Medication non-adherence: reflecting on two decades since WHO adherence report and setting goals for the next twenty years.,2024,,,
39764323,"Assessing Cancer Knowledge in the General Population of Bisha Province, Saudi Arabia: A Cross-Sectional Study.",2024 Dec,,,
39764127,Integration of RNA Editing with Multiomics Data Improves Machine Learning Models for Predicting Drug Responses in Breast Cancer Patients.,2024 Dec 17,,,
39764121,Investigating the added value of incorporating mammographic density to an integrated breast cancer risk model with questionnaire-based risk factors and polygenic risk score.,2024 Dec 19,,,
39764096,Body composition as a novel biomarker of recurrence risk in patients with triple-negative breast cancer.,2024 Dec 17,,,
39764068,Mechanistic insights into endosomal escape by sodium oleate-modified liposomes.,2024,,,
39764056,Detecting Clinically Relevant Topological Structures in Multiplexed Spatial Proteomics Imaging Using TopKAT.,2024 Dec 21,,,
39764052,Trastuzumab Deruxtecan Combination Strongly Enhances Responses and Overcomes Sotorasib Resistance in KRAS (G12C) -Mutant NSCLC.,2024 Dec 20,,,
39764014,Ancestry-linked stromal variations impact breast epithelial cell invasion.,2024 Dec 26,,,
39763965,Statins inhibit onco-dimerization of the 4Ig isoform of B7-H3.,2024 Dec 20,,,
39763830,Metabolic Switch in Endocrine Resistant Estrogen Receptor Positive Breast Cancer.,2024 Dec 29,,,
39763804,Maf1 Cooperates with Progesterone Receptor to Repress RNA Polymerase III Transcription of Select tRNAs.,2024 Dec 16,,,
39763776,A precision oncology-focused deep learning framework for personalized selection of cancer therapy.,2024 Dec 16,,,
39763698,Effect of low-dose radiation pre-irradiation on postoperative local chest wall recurrence of breast cancer-A retrospective study.,2025,,,
39763667,Enhancing oncolytic virotherapy by extracellular vesicle mediated microRNA reprograming of the tumour microenvironment.,2024,,,
39763599,Case report: Bone marrow metastasis and bone marrow necrosis occurring 11 years after ductal carcinoma in situ of the breast.,2024,,,
39763590,The impact of ferroptosis and ferroptosis-related non-coding RNAs on breast cancer progression.,2024,,,
39763583,Efficacy and safety of pegylated liposomal doxorubicin and epirubicin as neoadjuvant chemotherapy for breast cancer.,2024,,,
39763433,The Midas Touch by Iridium: A Second Near-Infrared Aggregation-Induced Emission-Active Metallo-Agent for Exceptional Phototheranostics of Breast Cancer.,2025 Jan 7,,,
39763338,Outcomes in Implant-Based Breast Reconstruction Utilizing Biosynthetic Mesh: A Meta-Analysis.,2025 Jan 7,,,
39763187,Applications of Indocyanine Green in Breast Cancer for Sentinel Lymph Node Mapping: Protocol for a Scoping Review.,2025 Jan 6,,,
39763124,Fe/Mo-Based Lipid Peroxidation Nanoamplifier Combined with Adenosine Immunometabolism Regulation to Augment Anti-Breast Cancer Immunity.,2025 Jan 6,,,
39763117,Engineered IL-21-Expressing Nanovesicles for Co-Delivery of GOX and Ferrocene to Induce Synergistic Anti-Tumor Effects.,2025 Jan 6,,,
39763116,Photoexcited Electro-Driven Reactive Oxygen Species Channeling for Precise Extraction of Biomarker Information from Tumor Interstitial Fluid.,2025 Jan 6,,,
39763064,Enhancement of anti-sarcoma immunity by NK cells engineered with mRNA for expression of a EphA2-targeted CAR.,2025 Jan,,,
39763027,"Antioxidant activity, phytochemical composition, and antitumor capacity of Amazonian fruits taperebá (Spondias mombin) and murici (Byrsonima crassifolia).",2025 Jan,,,
39762945,Serum metabolomic profiling for predicting therapeutic response and toxicity in breast cancer neoadjuvant chemotherapy: a retrospective longitudinal study.,2025 Jan 6,,,
39762817,Breast cancer patterns by age groups in Brazil: insights from population-based registries data.,2025 Jan 6,,,
39762786,Automatic image generation and stage prediction of breast cancer immunobiological through a proposed IHC-GAN model.,2025 Jan 6,,,
39762725,Habitat-based MRI radiomics to predict the origin of brain metastasis.,2025 Jan 6,,,
39762709,Correction: Timely cancer genetic counseling and testing for young women with breast cancer: impact on surgical decision-making for contralateral risk-reducing mastectomy.,2025 Jan 7,,,
39762708,"Disparities in treatment delays among metastatic breast cancer patients: insights from nationwide electronic health records, 2011-2022.",2025 Jan 7,,,
39762707,Assessment of the functional and health-related needs of patients with metastatic breast cancer prior to initiation of cancer treatment.,2025 Jan 6,,,
39762706,Weight change and cardiovascular disease incidence in breast cancer survivors: a nationwide cohort study.,2025 Jan 6,,,
39762700,Microbiota of the Mammary Gland in Wistar Rats with Chemically Induced Breast Cancer after Treatment.,2025 Jan 7,,,
39762636,Effects of Tai Chi Chuan on physical function and health in breast cancer patients.,2025 Jan 7,,,
39762596,Acceptability of the Fit2ThriveMB mHealth physical activity promotion intervention in women with metastatic breast cancer.,2025 Jan 6,,,
39762545,MIC: Breast Cancer Multi-label Diagnostic Framework Based on Multi-modal Fusion Interaction.,2025 Jan 6,,,
39762471,A computational and structural approach to identify malignant non-synonymous FOXM1 single nucleotide polymorphisms in triple-negative breast cancer.,2025 Jan 6,,,
39762422,Autogene cevumeran with or without atezolizumab in advanced solid tumors: a phase 1 trial.,2025 Jan 6,,,
39762417,"Explainable attention based breast tumor segmentation using a combination of UNet, ResNet, DenseNet, and EfficientNet models.",2025 Jan 6,,,
